price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated
950000.0,4.0,2.5,3320,7644,2.0,0,0,3,3320,0,1995,0
925000.0,4.0,2.75,3730,8014,2.0,0,0,3,3730,0,2012,1912
540000.0,3.0,1.0,1050,4160,1.0,0,0,4,1050,0,1925,1968
415000.0,2.0,1.0,1050,60113,1.0,0,0,4,1050,0,1943,0
229950.0,3.0,2.0,1410,7466,1.0,0,0,3,1410,0,1983,2009
210000.0,3.0,1.0,1080,21043,1.0,0,0,3,1080,0,1942,1999
339000.0,2.0,1.0,950,7954,1.0,0,0,4,950,0,1941,1998
820000.0,3.0,1.75,2160,6272,1.0,0,0,4,1390,770,1960,2001
480000.0,3.0,1.0,1150,4945,1.0,0,2,3,1150,0,1943,2002
675000.0,3.0,3.0,2980,28000,1.0,0,0,3,1820,1160,1981,2013
230000.0,2.0,1.0,1080,9435,1.0,0,0,3,1080,0,1958,2004
810000.0,2.0,2.75,2700,8572,1.0,0,0,3,2700,0,2007,0
439000.0,3.0,2.5,3180,7904,1.0,0,0,3,1810,1370,2006,0
635000.0,4.0,2.25,2750,6180,1.0,0,0,4,1500,1250,1948,0
1100000.0,3.0,2.5,2200,20000,1.0,0,1,3,1400,800,1952,2008
440000.0,3.0,1.0,1050,7500,1.0,0,0,3,1050,0,1900,2005
800000.0,3.0,3.5,3830,221284,2.0,0,0,3,3530,300,1993,0
270000.0,2.0,1.5,840,867,2.0,0,0,3,840,0,2005,0
1405000.0,4.0,3.5,3410,10769,2.0,0,0,3,3410,0,2008,0
800000.0,3.0,1.75,2080,75794,1.0,0,0,3,2080,0,1958,2004
594000.0,3.0,2.25,1270,1406,2.0,0,0,3,1060,210,2014,0
489000.0,3.0,3.5,1500,1249,2.0,0,0,3,1240,260,2004,2003
450000.0,3.0,1.75,1610,11200,1.0,0,0,3,1610,0,1955,2005
425000.0,3.0,1.5,1300,19163,1.0,0,0,3,1300,0,1964,2000
455000.0,4.0,2.5,3170,10688,2.0,0,2,3,3170,0,2001,0
665000.0,6.0,3.0,4250,4400,2.5,0,0,4,3020,1230,1902,0
490000.0,3.0,2.5,2230,5348,2.0,0,0,3,2230,0,2000,0
2400000.0,3.0,2.25,3000,11665,1.5,1,4,3,3000,0,2001,0
368112.5,4.0,2.5,2590,8483,2.0,0,0,3,2590,0,1991,0
475000.0,4.0,3.5,3400,234352,2.0,0,0,3,2500,900,1991,0
255000.0,2.0,1.0,1320,9967,1.0,0,0,3,940,380,1919,2001
513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,1996,0
360000.0,3.0,1.75,1500,7200,1.0,0,0,3,1500,0,1957,2000
535000.0,4.0,2.25,2980,8051,1.5,0,2,4,2020,960,1935,0
279000.0,4.0,2.0,2200,7700,1.0,0,0,3,1100,1100,1979,2014
745000.0,4.0,3.25,3490,7024,2.0,0,0,3,3490,0,2006,0
375000.0,5.0,3.25,3370,7947,2.0,0,0,3,3370,0,2001,0
470000.0,3.0,1.75,2290,14800,1.0,0,0,3,1620,670,1965,1993
585000.0,4.0,1.75,2470,131790,2.0,0,2,3,2470,0,1937,1999
1901000.0,3.0,2.5,2660,13367,2.0,0,2,3,2660,0,1992,0
1087500.0,2.0,2.0,2360,11340,1.5,0,0,3,2360,0,1997,0
160000.0,3.0,1.0,1210,103237,1.0,0,0,2,1210,0,1918,1960
430000.0,3.0,1.5,1810,5080,1.0,0,0,3,1030,780,1958,2004
410000.0,3.0,2.0,1400,45738,2.0,0,0,4,1400,0,1981,0
